Opening Time,Type [buy/sell],Symbol,Setup,Size / Quantity,Closing Time,Entry Price,Closing Price,Swap,Commission,Net Profit,Stop Loss (optional),Take Profit(optional),Highest price (optional),Lowest price (optional)
2018-12-20 08:00:00,BUY,BTCUSD,chopEMA,141.52,2019-01-10 00:00:00,107.69000000,135.45000000,,24.08682900,3897.69000000,104.89299700,125.45958400,159.16582000,104.66391100
2019-02-08 16:00:00,BUY,BTCUSD,chopEMA,160.46,2019-02-24 16:00:00,119.25000000,132.10000000,,28.23195900,2025.60000000,116.15275200,138.92706300,165.88867500,115.70827500
2019-03-16 08:00:00,BUY,BTCUSD,chopEMA,150.97,2019-03-21 08:00:00,140.15000000,134.58000000,,29.03328800,-878.23000000,136.50992200,163.27570600,141.88786000,131.08229500
2019-03-27 16:00:00,BUY,BTCUSD,chopEMA,145.44,2019-04-15 16:00:00,139.45000000,159.95000000,,30.48051900,2942.25000000,135.82810300,162.46020100,185.74740000,137.17696500
2019-05-03 08:00:00,BUY,BTCUSD,chopEMA,137.98,2019-05-06 00:00:00,168.29000000,160.06000000,,31.71403600,-1176.35000000,163.91905000,196.05899700,171.15093000,159.03405000
2019-05-06 08:00:00,BUY,BTCUSD,chopEMA,129.22,2019-06-03 16:00:00,170.61000000,249.91000000,,38.03627400,10197.85000000,166.17879300,198.76181300,288.46738800,164.63865000
2019-06-12 16:00:00,BUY,BTCUSD,chopEMA,123.43,2019-07-01 08:00:00,261.15000000,285.86000000,,47.26267000,2989.22000000,254.36722200,304.24153100,366.57625500,251.51356500
2019-08-05 08:00:00,BUY,BTCUSD,chopEMA,151.90,2019-08-09 00:00:00,231.86000000,216.65000000,,47.69151300,-2371.79000000,225.83796300,270.11848100,238.93173000,215.11970800
2019-09-14 08:00:00,BUY,BTCUSD,chopEMA,177.56,2019-09-24 08:00:00,185.01000000,192.66000000,,46.94217900,1298.00000000,180.20478600,215.53791100,223.76959500,184.32546300
2019-10-26 00:00:00,BUY,BTCUSD,chopEMA,183.98,2019-11-15 00:00:00,185.61000000,182.73000000,,47.43600400,-590.84000000,180.78920200,216.23691600,194.92762200,173.63815500
2020-01-05 08:00:00,BUY,BTCUSD,chopEMA,244.48,2020-02-15 00:00:00,137.26000000,288.25000000,,72.82040700,36820.57000000,133.69498300,159.90883600,288.12246600,134.08929400
2020-04-06 00:00:00,BUY,BTCUSD,chopEMA,470.63,2020-05-10 00:00:00,149.47000000,190.73000000,,112.07563800,19274.06000000,145.58785600,174.13356900,227.16450600,148.19950500
2020-05-18 00:00:00,BUY,BTCUSD,chopEMA,418.29,2020-05-21 08:00:00,214.21000000,199.21000000,,121.05029800,-6429.97000000,208.64638200,249.55611100,215.75231200,196.40914900
